Age,Years_at_Company,Performance_Score,Leadership_Score,Training_Hours,Projects_Handled,Peer_Review_Score,Current_Position_Level,Promotion_Eligible,Training_Level,Leadership_Level,Projects_per_Years,Project_Level,Tenure_Level,Age_Group,Projects_per_Years_log
56.0,16.0,3.0,61.0,13.0,8.0,51.0,Mid,0,Very Low,High,0.47058823529411764,Moderate,Senior,Senior,0.3856624808119847
55.0,6.0,4.0,38.0,170.0,13.0,16.0,Lead,1,Very High,Medium,1.8571428571428572,Very High,New,Senior,1.0498221244986778
34.0,4.0,4.0,18.0,38.0,14.0,2.0,Mid,0,Very Low,Low,2.8,Very High,New,Early Mid,1.33500106673234
25.0,23.0,1.0,1.0,56.0,18.0,75.0,Senior,0,Low,Low,0.75,High,Veteran,Young,0.5596157879354227
27.0,26.0,2.0,42.0,80.0,10.0,45.0,Senior,0,Low,Medium,0.37037037037037035,Moderate,Veteran,Young,0.31508104663989533
22.0,24.0,1.0,30.0,31.0,14.0,53.0,Lead,0,Very Low,Medium,0.56,Moderate,Veteran,Young,0.44468582126144574
33.0,20.0,4.0,64.0,79.0,10.0,19.0,Lead,0,Low,High,0.47619047619047616,Moderate,Senior,Early Mid,0.38946476676172326
56.0,13.0,5.0,51.0,82.0,17.0,21.0,Junior,1,Low,Medium,1.2142857142857142,Very High,Mid,Senior,0.7949298748698876
32.0,7.0,5.0,51.0,28.0,15.0,41.0,Lead,1,Very Low,Medium,1.875,Very High,New,Young,1.0560526742493137
44.0,13.0,4.0,63.0,170.0,10.0,78.0,Junior,0,Very High,High,0.7142857142857143,High,Mid,Late Mid,0.538996500732687
35.0,1.0,5.0,10.0,128.0,10.0,39.0,Mid,1,High,Low,5.0,Very High,New,Early Mid,1.791759469228055
40.0,14.0,2.0,89.0,115.0,7.0,54.0,Lead,0,Moderate,Very High,0.4666666666666667,Moderate,Mid,Early Mid,0.3829922522561058
58.0,2.0,1.0,12.0,74.0,10.0,6.0,Mid,0,Low,Low,3.3333333333333335,Very High,New,Senior,1.4663370687934272
37.0,25.0,2.0,92.0,49.0,19.0,68.0,Mid,0,Low,Very High,0.7307692307692307,High,Veteran,Early Mid,0.5485659517488377
49.0,3.0,3.0,62.0,25.0,10.0,64.0,Lead,0,Very Low,High,2.5,Very High,New,Late Mid,1.252762968495368
52.0,1.0,1.0,51.0,171.0,2.0,79.0,Senior,0,Very High,Medium,1.0,High,New,Senior,0.6931471805599453
28.0,2.0,1.0,49.0,72.0,5.0,59.0,Junior,1,Low,Medium,1.6666666666666667,Very High,New,Young,0.9808292530117262
48.0,22.0,2.0,12.0,179.0,17.0,73.0,Senior,0,Very High,Low,0.7391304347826086,High,Senior,Late Mid,0.5533852381847866
28.0,14.0,4.0,29.0,103.0,19.0,98.0,Senior,1,Moderate,Medium,1.2666666666666666,Very High,Mid,Young,0.8183103235139513
36.0,2.0,2.0,53.0,94.0,13.0,13.0,Senior,0,Moderate,High,4.333333333333333,Very High,New,Early Mid,1.6739764335716716
33.0,15.0,5.0,36.0,157.0,10.0,33.0,Lead,0,High,Medium,0.625,Moderate,Mid,Early Mid,0.48550781578170077
29.0,8.0,2.0,24.0,92.0,12.0,46.0,Lead,1,Moderate,Low,1.3333333333333333,Very High,New,Young,0.8472978603872036
23.0,15.0,5.0,34.0,142.0,2.0,15.0,Senior,0,High,Medium,0.125,Low,Mid,Young,0.11778303565638346
59.0,19.0,2.0,45.0,36.0,13.0,74.0,Junior,0,Very Low,Medium,0.65,High,Senior,Senior,0.5007752879124893
47.0,10.0,4.0,54.0,189.0,3.0,21.0,Junior,0,Very High,High,0.2727272727272727,Low,Mid,Late Mid,0.24116205681688807
42.0,15.0,3.0,81.0,84.0,11.0,25.0,Lead,1,Low,Very High,0.6875,High,Mid,Late Mid,0.5232481437645479
34.0,25.0,3.0,16.0,106.0,8.0,7.0,Senior,0,Moderate,Low,0.3076923076923077,Low,Veteran,Early Mid,0.26826398659467937
40.0,25.0,4.0,62.0,60.0,1.0,7.0,Senior,0,Low,High,0.038461538461538464,Low,Veteran,Early Mid,0.03774032798284703
39.0,15.0,3.0,13.0,147.0,18.0,6.0,Mid,1,High,Low,1.125,High,Mid,Early Mid,0.7537718023763802
23.0,29.0,5.0,14.0,153.0,1.0,60.0,Mid,0,High,Low,0.03333333333333333,Low,Veteran,Young,0.03278982282299087
49.0,9.0,4.0,76.0,161.0,8.0,39.0,Lead,0,Very High,Very High,0.8,High,Mid,Late Mid,0.5877866649021191
44.0,28.0,3.0,3.0,130.0,18.0,51.0,Junior,0,High,Low,0.6206896551724138,Moderate,Veteran,Late Mid,0.48285177172358457
25.0,25.0,2.0,44.0,101.0,12.0,24.0,Junior,0,Moderate,Medium,0.46153846153846156,Moderate,Veteran,Young,0.37948962170490375
33.0,16.0,1.0,19.0,171.0,17.0,82.0,Junior,1,Very High,Low,1.0,High,Senior,Early Mid,0.6931471805599453
43.0,24.0,2.0,9.0,127.0,4.0,36.0,Senior,1,High,Low,0.16,Low,Veteran,Late Mid,0.14842000511827327
41.0,10.0,1.0,24.0,31.0,18.0,15.0,Senior,1,Very Low,Low,1.6363636363636365,Very High,Mid,Early Mid,0.9694005571881035
56.0,26.0,4.0,3.0,192.0,4.0,67.0,Mid,0,Very High,Low,0.14814814814814814,Low,Veteran,Senior,0.13815033848081718
25.0,23.0,2.0,83.0,189.0,11.0,25.0,Senior,0,Very High,Very High,0.4583333333333333,Moderate,Veteran,Young,0.37729423114146804
33.0,14.0,4.0,86.0,91.0,18.0,0.0,Lead,0,Moderate,Very High,1.2,Very High,Mid,Early Mid,0.7884573603642702
25.0,11.0,3.0,3.0,180.0,7.0,27.0,Lead,0,Very High,Low,0.5833333333333334,Moderate,Mid,Young,0.4595323293784402
52.0,24.0,2.0,8.0,5.0,9.0,51.0,Mid,1,Very Low,Low,0.36,Moderate,Veteran,Senior,0.3074846997479606
28.0,25.0,5.0,56.0,66.0,15.0,32.0,Senior,1,Low,High,0.5769230769230769,Moderate,Veteran,Young,0.4554755286828257
31.0,6.0,3.0,47.0,92.0,9.0,69.0,Senior,0,Moderate,Medium,1.2857142857142858,Very High,New,Young,0.8266785731844679
45.0,23.0,5.0,28.0,196.0,19.0,85.0,Mid,0,Very High,Medium,0.7916666666666666,High,Veteran,Late Mid,0.5831462853456167
36.0,12.0,5.0,57.0,171.0,9.0,23.0,Mid,1,Very High,High,0.6923076923076923,High,Mid,Early Mid,0.5260930958967791
41.0,29.0,1.0,88.0,191.0,8.0,68.0,Mid,0,Very High,Very High,0.26666666666666666,Low,Veteran,Early Mid,0.2363887780642304
28.0,2.0,5.0,34.0,103.0,4.0,60.0,Lead,0,Moderate,Medium,1.3333333333333333,Very High,New,Young,0.8472978603872036
34.0,21.0,2.0,13.0,105.0,6.0,84.0,Junior,0,Moderate,Low,0.2727272727272727,Low,Senior,Early Mid,0.24116205681688807
49.0,20.0,4.0,33.0,24.0,4.0,46.0,Lead,0,Very Low,Medium,0.19047619047619047,Low,Senior,Late Mid,0.17435338714477774
39.0,13.0,5.0,45.0,197.0,14.0,25.0,Mid,0,Very High,Medium,1.0,High,Mid,Early Mid,0.6931471805599453
32.0,2.0,1.0,11.0,111.0,10.0,92.0,Mid,1,Moderate,Low,3.3333333333333335,Very High,New,Young,1.4663370687934272
57.0,23.0,5.0,63.0,141.0,16.0,52.0,Mid,0,High,High,0.6666666666666666,High,Veteran,Senior,0.5108256237659907
57.0,28.0,4.0,47.0,89.0,10.0,81.0,Mid,0,Moderate,Medium,0.3448275862068966,Low,Veteran,Senior,0.29626581614317243
23.0,12.0,2.0,89.0,91.0,19.0,51.0,Junior,0,Moderate,Very High,1.4615384615384615,Very High,Mid,Young,0.9007865453381898
38.0,29.0,5.0,78.0,21.0,2.0,34.0,Junior,0,Very Low,Very High,0.06666666666666667,Low,Veteran,Early Mid,0.06453852113757116
27.0,5.0,3.0,65.0,41.0,19.0,19.0,Mid,0,Very Low,High,3.1666666666666665,Very High,New,Young,1.4271163556401456
44.0,10.0,4.0,6.0,9.0,9.0,32.0,Senior,1,Very Low,Low,0.8181818181818182,High,Mid,Late Mid,0.5978370007556205
37.0,10.0,5.0,89.0,91.0,13.0,51.0,Mid,1,Moderate,Very High,1.1818181818181819,Very High,Mid,Early Mid,0.7801585575495751
47.0,3.0,4.0,20.0,84.0,0.0,65.0,Junior,0,Low,Low,0.0,Low,New,Late Mid,0.0
22.0,17.0,4.0,51.0,132.0,14.0,20.0,Junior,0,High,Medium,0.7777777777777778,High,Senior,Young,0.5753641449035618
57.0,21.0,4.0,59.0,131.0,17.0,86.0,Mid,0,High,High,0.7727272727272727,High,Senior,Senior,0.5725191927713306
51.0,1.0,4.0,27.0,148.0,10.0,51.0,Junior,1,High,Low,5.0,Very High,New,Senior,1.791759469228055
23.0,29.0,1.0,60.0,120.0,3.0,82.0,Lead,0,High,High,0.1,Low,Veteran,Young,0.09531017980432487
41.0,4.0,1.0,35.0,66.0,4.0,98.0,Mid,0,Low,Medium,0.8,High,New,Early Mid,0.5877866649021191
26.0,27.0,1.0,89.0,93.0,5.0,14.0,Junior,1,Moderate,Very High,0.17857142857142858,Low,Veteran,Young,0.16430305129127631
52.0,40.0,3.0,28.0,123.0,16.0,47.0,Lead,1,High,Medium,0.3902439024390244,Moderate,Veteran,Senior,0.32947920113024237
29.0,2.0,2.0,21.0,125.0,9.0,31.0,Junior,0,High,Low,3.0,Very High,New,Young,1.3862943611198906
51.0,2.0,3.0,78.0,89.0,16.0,88.0,Junior,0,Moderate,Very High,5.333333333333333,Very High,New,Senior,1.8458266904983307
23.0,20.0,1.0,21.0,139.0,17.0,34.0,Lead,0,High,Low,0.8095238095238095,High,Senior,Young,0.5930637220029628
34.0,27.0,4.0,39.0,141.0,5.0,79.0,Mid,0,High,Medium,0.17857142857142858,Low,Veteran,Early Mid,0.16430305129127631
25.0,20.0,1.0,84.0,110.0,9.0,47.0,Mid,0,Moderate,Very High,0.42857142857142855,Moderate,Senior,Young,0.35667494393873234
29.0,9.0,3.0,30.0,136.0,8.0,10.0,Senior,1,High,Medium,0.8,High,Mid,Young,0.5877866649021191
46.0,26.0,1.0,6.0,49.0,3.0,75.0,Mid,0,Low,Low,0.1111111111111111,Low,Veteran,Late Mid,0.1053605156578263
41.0,11.0,4.0,66.0,93.0,16.0,18.0,Senior,0,Moderate,High,1.3333333333333333,Very High,Mid,Early Mid,0.8472978603872036
35.0,26.0,1.0,95.0,118.0,19.0,51.0,Lead,0,High,Very High,0.7037037037037037,High,Veteran,Early Mid,0.532804530484766
50.0,4.0,2.0,67.0,86.0,10.0,11.0,Lead,0,Low,High,2.0,Very High,New,Senior,1.0986122886681096
42.0,11.0,4.0,53.0,46.0,4.0,25.0,Junior,0,Low,High,0.3333333333333333,Low,Mid,Late Mid,0.2876820724517809
54.0,21.0,5.0,72.0,132.0,6.0,55.0,Junior,0,High,High,0.2727272727272727,Low,Senior,Senior,0.24116205681688807
46.0,22.0,5.0,69.0,11.0,8.0,39.0,Mid,0,Very Low,High,0.34782608695652173,Low,Senior,Late Mid,0.29849298855599654
30.0,14.0,3.0,44.0,101.0,9.0,5.0,Junior,0,Moderate,Medium,0.6,Moderate,Mid,Young,0.4700036292457356
36.0,25.0,1.0,29.0,25.0,2.0,51.0,Lead,0,Very Low,Medium,0.07692307692307693,Low,Veteran,Early Mid,0.07410797215372188
28.0,21.0,1.0,20.0,53.0,4.0,58.0,Junior,0,Low,Low,0.18181818181818182,Low,Senior,Young,0.1670540846631662
23.0,27.0,4.0,52.0,132.0,8.0,2.0,Lead,0,High,High,0.2857142857142857,Low,Veteran,Young,0.25131442828090605
52.0,12.0,2.0,47.0,2.0,14.0,16.0,Senior,0,Very Low,Medium,1.0769230769230769,High,Mid,Senior,0.7308875085427923
28.0,2.0,2.0,7.0,83.0,13.0,9.0,Mid,0,Low,Low,4.333333333333333,Very High,New,Young,1.6739764335716716
32.0,4.0,4.0,95.0,110.0,9.0,11.0,Lead,0,Moderate,Very High,1.8,Very High,New,Young,1.0296194171811583
34.0,11.0,5.0,13.0,51.0,17.0,46.0,Lead,0,Low,Low,1.4166666666666667,Very High,Mid,Early Mid,0.8823891801984738
47.0,3.0,1.0,34.0,43.0,2.0,81.0,Lead,0,Low,Medium,0.5,Moderate,New,Late Mid,0.4054651081081644
29.0,13.0,3.0,83.0,124.0,19.0,17.0,Junior,1,High,Very High,1.3571428571428572,Very High,Mid,Young,0.8574502318512216
35.0,14.0,2.0,51.0,103.0,10.0,33.0,Senior,0,Moderate,Medium,0.6666666666666666,High,Mid,Early Mid,0.5108256237659907
23.0,4.0,1.0,68.0,179.0,6.0,31.0,Mid,0,Very High,High,1.2,Very High,New,Young,0.7884573603642702
36.0,7.0,5.0,59.0,154.0,16.0,85.0,Senior,0,High,High,2.0,Very High,New,Early Mid,1.0986122886681096
41.0,1.0,3.0,79.0,103.0,4.0,46.0,Lead,0,Moderate,Very High,2.0,Very High,New,Early Mid,1.0986122886681096
55.0,1.0,5.0,47.0,62.0,19.0,24.0,Lead,0,Low,Medium,9.5,Very High,New,Senior,2.3513752571634776
25.0,7.0,1.0,5.0,117.0,12.0,32.0,Mid,1,Moderate,Low,1.5,Very High,New,Young,0.9162907318741551
39.0,24.0,5.0,75.0,39.0,4.0,13.0,Lead,0,Very Low,Very High,0.16,Low,Veteran,Early Mid,0.14842000511827327
46.0,24.0,4.0,21.0,59.0,11.0,57.0,Junior,0,Low,Low,0.44,Moderate,Veteran,Late Mid,0.36464311358790924
45.0,29.0,1.0,13.0,144.0,19.0,33.0,Senior,1,High,Low,0.6333333333333333,Moderate,Veteran,Late Mid,0.4906229164484712
27.0,26.0,5.0,11.0,24.0,16.0,51.0,Lead,0,Very Low,Low,0.5925925925925926,Moderate,Veteran,Young,0.4653632496892333
55.0,10.0,4.0,65.0,93.0,8.0,3.0,Mid,0,Moderate,High,0.7272727272727273,High,Mid,Senior,0.5465437063680699
59.0,15.0,4.0,81.0,131.0,18.0,23.0,Mid,1,High,Very High,1.125,High,Mid,Senior,0.7537718023763802
24.0,26.0,5.0,25.0,0.0,3.0,89.0,Junior,0,Very Low,Low,0.1111111111111111,Low,Veteran,Young,0.1053605156578263
40.0,16.0,5.0,29.0,156.0,12.0,57.0,Mid,1,High,Medium,0.7058823529411765,High,Senior,Early Mid,0.534082485930258
57.0,25.0,4.0,14.0,103.0,12.0,87.0,Junior,1,Moderate,Low,0.46153846153846156,Moderate,Veteran,Senior,0.37948962170490375
49.0,18.0,1.0,58.0,169.0,15.0,50.0,Junior,0,Very High,High,0.7894736842105263,High,Senior,Late Mid,0.581921545449721
39.0,24.0,3.0,97.0,180.0,16.0,95.0,Junior,1,Very High,Very High,0.64,High,Veteran,Early Mid,0.49469624183610705
25.0,23.0,2.0,24.0,151.0,15.0,51.0,Mid,0,High,Low,0.625,Moderate,Veteran,Young,0.48550781578170077
33.0,23.0,5.0,73.0,74.0,9.0,55.0,Lead,0,Low,High,0.375,Moderate,Veteran,Early Mid,0.3184537311185346
48.0,9.0,4.0,48.0,16.0,10.0,42.0,Mid,0,Very Low,Medium,1.0,High,Mid,Late Mid,0.6931471805599453
50.0,1.0,3.0,11.0,157.0,5.0,17.0,Mid,0,High,Low,2.5,Very High,New,Senior,1.252762968495368
33.0,25.0,3.0,85.0,135.0,2.0,79.0,Senior,0,High,Very High,0.07692307692307693,Low,Veteran,Early Mid,0.07410797215372188
25.0,22.0,2.0,51.0,46.0,17.0,33.0,Senior,0,Low,Medium,0.7391304347826086,High,Senior,Young,0.5533852381847866
45.0,21.0,3.0,72.0,194.0,10.0,75.0,Mid,0,Very High,High,0.45454545454545453,Moderate,Senior,Late Mid,0.3746934494414107
47.0,24.0,1.0,33.0,120.0,18.0,44.0,Senior,0,High,Medium,0.72,High,Veteran,Late Mid,0.5423242908253616
49.0,13.0,4.0,1.0,38.0,14.0,50.0,Lead,1,Very Low,Low,1.0,High,Mid,Late Mid,0.6931471805599453
25.0,24.0,5.0,62.0,116.0,9.0,94.0,Mid,0,Moderate,High,0.36,Moderate,Veteran,Young,0.3074846997479606
57.0,12.0,3.0,49.0,141.0,5.0,82.0,Junior,0,High,Medium,0.38461538461538464,Moderate,Mid,Senior,0.325422400434628
36.0,20.0,2.0,98.0,129.0,15.0,44.0,Lead,1,High,Very High,0.7142857142857143,High,Senior,Early Mid,0.538996500732687
43.0,16.0,2.0,51.0,164.0,8.0,73.0,Junior,0,Very High,Medium,0.47058823529411764,Moderate,Senior,Late Mid,0.3856624808119847
45.0,10.0,2.0,93.0,159.0,5.0,39.0,Lead,0,High,Very High,0.45454545454545453,Moderate,Mid,Late Mid,0.3746934494414107
45.0,1.0,3.0,2.0,95.0,12.0,48.0,Senior,1,Moderate,Low,6.0,Very High,New,Late Mid,1.9459101490553132
58.0,28.0,2.0,53.0,32.0,3.0,35.0,Lead,0,Very Low,High,0.10344827586206896,Low,Veteran,Senior,0.09844007281325252
41.0,20.0,1.0,69.0,76.0,14.0,21.0,Senior,0,Low,High,0.6666666666666666,High,Senior,Early Mid,0.5108256237659907
27.0,15.0,1.0,10.0,125.0,9.0,25.0,Lead,1,High,Low,0.5625,Moderate,Mid,Young,0.44628710262841953
31.0,1.0,4.0,17.0,191.0,16.0,54.0,Junior,1,Very High,Low,8.0,Very High,New,Young,2.1972245773362196
24.0,28.0,4.0,73.0,30.0,12.0,72.0,Senior,0,Very Low,High,0.41379310344827586,Moderate,Veteran,Young,0.3462762367178338
59.0,19.0,1.0,92.0,198.0,6.0,24.0,Junior,0,Very High,Very High,0.3,Low,Senior,Senior,0.26236426446749106
55.0,7.0,3.0,19.0,146.0,19.0,88.0,Mid,1,High,Low,2.375,Very High,New,Senior,1.2163953243244932
27.0,3.0,4.0,6.0,83.0,8.0,8.0,Lead,1,Low,Low,2.0,Very High,New,Young,1.0986122886681096
31.0,20.0,4.0,87.0,59.0,9.0,18.0,Mid,0,Low,Very High,0.42857142857142855,Moderate,Senior,Young,0.35667494393873234
37.0,26.0,3.0,51.0,161.0,2.0,98.0,Senior,0,Very High,Medium,0.07407407407407407,Low,Veteran,Early Mid,0.07145896398214495
50.0,27.0,4.0,51.0,62.0,12.0,89.0,Senior,0,Low,Medium,0.42857142857142855,Moderate,Veteran,Senior,0.35667494393873234
24.0,26.0,5.0,24.0,103.0,9.0,73.0,Mid,0,Moderate,Low,0.3333333333333333,Low,Veteran,Young,0.2876820724517809
32.0,24.0,5.0,10.0,173.0,3.0,79.0,Junior,1,Very High,Low,0.12,Low,Veteran,Young,0.11332868530700317
58.0,9.0,1.0,15.0,103.0,6.0,9.0,Senior,1,Moderate,Low,0.6,Moderate,Mid,Senior,0.4700036292457356
25.0,22.0,5.0,63.0,179.0,5.0,59.0,Mid,1,Very High,High,0.21739130434782608,Low,Senior,Young,0.19671029424605424
25.0,28.0,5.0,38.0,65.0,4.0,69.0,Mid,0,Low,Medium,0.13793103448275862,Low,Veteran,Young,0.1292117314800062
45.0,11.0,3.0,54.0,113.0,6.0,72.0,Senior,0,Moderate,High,0.5,Moderate,Mid,Late Mid,0.4054651081081644
49.0,5.0,4.0,0.0,148.0,10.0,56.0,Junior,0,High,Low,1.6666666666666667,Very High,New,Late Mid,0.9808292530117262
56.0,10.0,1.0,73.0,58.0,4.0,0.0,Senior,0,Low,High,0.36363636363636365,Moderate,Mid,Senior,0.3101549283038395
59.0,23.0,2.0,42.0,44.0,5.0,66.0,Junior,0,Low,Medium,0.20833333333333334,Low,Veteran,Senior,0.18924199963852842
45.0,4.0,2.0,9.0,187.0,10.0,35.0,Junior,0,Very High,Low,2.0,Very High,New,Late Mid,1.0986122886681096
43.0,24.0,3.0,10.0,113.0,1.0,51.0,Lead,0,Moderate,Low,0.04,Low,Veteran,Late Mid,0.039220713153281295
47.0,24.0,3.0,7.0,106.0,18.0,95.0,Mid,0,Moderate,Low,0.72,High,Veteran,Late Mid,0.5423242908253616
39.0,19.0,5.0,26.0,111.0,11.0,23.0,Mid,0,Moderate,Low,0.55,Moderate,Senior,Early Mid,0.4382549309311553
24.0,14.0,5.0,18.0,199.0,1.0,78.0,Lead,0,Very High,Low,0.06666666666666667,Low,Mid,Young,0.06453852113757116
32.0,12.0,2.0,31.0,137.0,4.0,42.0,Senior,0,High,Medium,0.3076923076923077,Low,Mid,Young,0.26826398659467937
30.0,4.0,5.0,51.0,144.0,5.0,34.0,Mid,0,High,Medium,1.0,High,New,Young,0.6931471805599453
54.0,5.0,1.0,74.0,106.0,6.0,62.0,Mid,0,Moderate,Very High,1.0,High,New,Senior,0.6931471805599453
41.0,22.0,5.0,51.0,61.0,15.0,58.0,Mid,1,Low,Medium,0.6521739130434783,High,Senior,Early Mid,0.5020919437972361
57.0,20.0,2.0,99.0,171.0,9.0,60.0,Senior,1,Very High,Very High,0.42857142857142855,Moderate,Senior,Senior,0.35667494393873234
25.0,0.0,5.0,97.0,19.0,10.0,95.0,Mid,1,Very Low,Very High,10.0,Very High,New,Young,2.3978952727983707
23.0,15.0,1.0,18.0,24.0,17.0,17.0,Junior,0,Very Low,Low,1.0625,High,Mid,Young,0.723918839226699
29.0,16.0,1.0,68.0,23.0,18.0,6.0,Lead,1,Very Low,High,1.0588235294117647,High,Senior,Young,0.7221347174331976
28.0,25.0,5.0,79.0,65.0,17.0,78.0,Lead,0,Low,Very High,0.6538461538461539,High,Veteran,Young,0.5031035776720804
41.0,0.0,4.0,66.0,63.0,2.0,68.0,Junior,0,Low,High,2.0,Very High,New,Early Mid,1.0986122886681096
55.0,15.0,3.0,87.0,4.0,10.0,28.0,Lead,0,Very Low,Very High,0.625,Moderate,Mid,Senior,0.48550781578170077
40.0,1.0,1.0,94.0,54.0,1.0,51.0,Lead,0,Low,Very High,0.5,Moderate,New,Early Mid,0.4054651081081644
50.0,20.0,1.0,39.0,1.0,6.0,77.0,Lead,0,Very Low,Medium,0.2857142857142857,Low,Senior,Senior,0.25131442828090605
27.0,7.0,2.0,66.0,64.0,14.0,17.0,Lead,0,Low,High,1.75,Very High,New,Young,1.0116009116784799
31.0,0.0,4.0,52.0,52.0,10.0,41.0,Junior,0,Low,High,10.0,Very High,New,Young,2.3978952727983707
26.0,1.0,2.0,22.0,103.0,6.0,90.0,Mid,1,Moderate,Low,3.0,Very High,New,Young,1.3862943611198906
45.0,15.0,2.0,2.0,12.0,7.0,66.0,Senior,0,Very Low,Low,0.4375,Moderate,Mid,Late Mid,0.3629054936893685
43.0,13.0,2.0,90.0,150.0,10.0,85.0,Mid,0,High,Very High,0.7142857142857143,High,Mid,Late Mid,0.538996500732687
47.0,2.0,3.0,92.0,22.0,5.0,17.0,Mid,0,Very Low,Very High,1.6666666666666667,Very High,New,Late Mid,0.9808292530117262
58.0,25.0,2.0,92.0,68.0,10.0,40.0,Lead,0,Low,Very High,0.38461538461538464,Moderate,Veteran,Senior,0.325422400434628
50.0,25.0,5.0,71.0,169.0,11.0,6.0,Junior,0,Very High,High,0.4230769230769231,Moderate,Veteran,Senior,0.3528213746227424
57.0,23.0,1.0,9.0,103.0,15.0,74.0,Mid,0,Moderate,Low,0.625,Moderate,Veteran,Senior,0.48550781578170077
41.0,28.0,3.0,20.0,181.0,11.0,62.0,Mid,0,Very High,Low,0.3793103448275862,Moderate,Veteran,Early Mid,0.3215836241274623
41.0,11.0,3.0,77.0,130.0,12.0,79.0,Senior,0,High,Very High,1.0,High,Mid,Early Mid,0.6931471805599453
36.0,18.0,4.0,24.0,3.0,9.0,53.0,Mid,0,Very Low,Low,0.47368421052631576,Moderate,Senior,Early Mid,0.38776553100876343
