,Age,Years_at_Company,Performance_Score,Leadership_Score,Training_Hours,Projects_Handled,Peer_Review_Score,Current_Position_Level,Training_Level,Leadership_Level,Projects_per_Years,Project_Level,Tenure_Level,Age_Group,Projects_per_Years_log
75,45.0,23.0,5.0,28.0,196.0,19.0,85.0,Mid,Very High,Medium,0.7916666666666666,High,Veteran,Late Mid,0.5831462853456167
76,36.0,12.0,5.0,57.0,171.0,9.0,23.0,Mid,Very High,High,0.6923076923076923,High,Mid,Early Mid,0.5260930958967791
77,41.0,29.0,1.0,88.0,191.0,8.0,68.0,Mid,Very High,Very High,0.26666666666666666,Low,Veteran,Early Mid,0.2363887780642304
78,28.0,2.0,5.0,34.0,103.0,4.0,60.0,Lead,Moderate,Medium,1.3333333333333333,Very High,New,Young,0.8472978603872036
79,34.0,21.0,2.0,13.0,105.0,6.0,84.0,Junior,Moderate,Low,0.2727272727272727,Low,Senior,Early Mid,0.24116205681688807
80,49.0,20.0,4.0,33.0,24.0,4.0,46.0,Lead,Very Low,Medium,0.19047619047619047,Low,Senior,Late Mid,0.17435338714477774
81,39.0,13.0,5.0,45.0,197.0,14.0,25.0,Mid,Very High,Medium,1.0,High,Mid,Early Mid,0.6931471805599453
82,32.0,2.0,1.0,11.0,111.0,10.0,92.0,Mid,Moderate,Low,3.3333333333333335,Very High,New,Young,1.4663370687934272
83,57.0,23.0,5.0,63.0,141.0,16.0,52.0,Mid,High,High,0.6666666666666666,High,Veteran,Senior,0.5108256237659907
84,57.0,28.0,4.0,47.0,89.0,10.0,81.0,Mid,Moderate,Medium,0.3448275862068966,Low,Veteran,Senior,0.29626581614317243
85,23.0,12.0,2.0,89.0,91.0,19.0,51.0,Junior,Moderate,Very High,1.4615384615384615,Very High,Mid,Young,0.9007865453381898
86,38.0,29.0,5.0,78.0,21.0,2.0,34.0,Junior,Very Low,Very High,0.06666666666666667,Low,Veteran,Early Mid,0.06453852113757116
87,27.0,5.0,3.0,65.0,41.0,19.0,19.0,Mid,Very Low,High,3.1666666666666665,Very High,New,Young,1.4271163556401456
88,44.0,10.0,4.0,6.0,9.0,9.0,32.0,Senior,Very Low,Low,0.8181818181818182,High,Mid,Late Mid,0.5978370007556205
89,37.0,10.0,5.0,89.0,91.0,13.0,51.0,Mid,Moderate,Very High,1.1818181818181819,Very High,Mid,Early Mid,0.7801585575495751
90,47.0,3.0,4.0,20.0,84.0,0.0,65.0,Junior,Low,Low,0.0,Low,New,Late Mid,0.0
91,22.0,17.0,4.0,51.0,132.0,14.0,20.0,Junior,High,Medium,0.7777777777777778,High,Senior,Young,0.5753641449035618
92,57.0,21.0,4.0,59.0,131.0,17.0,86.0,Mid,High,High,0.7727272727272727,High,Senior,Senior,0.5725191927713306
93,51.0,1.0,4.0,27.0,148.0,10.0,51.0,Junior,High,Low,5.0,Very High,New,Senior,1.791759469228055
94,23.0,29.0,1.0,60.0,120.0,3.0,82.0,Lead,High,High,0.1,Low,Veteran,Young,0.09531017980432487
95,41.0,4.0,1.0,35.0,66.0,4.0,98.0,Mid,Low,Medium,0.8,High,New,Early Mid,0.5877866649021191
96,26.0,27.0,1.0,89.0,93.0,5.0,14.0,Junior,Moderate,Very High,0.17857142857142858,Low,Veteran,Young,0.16430305129127631
97,52.0,40.0,3.0,28.0,123.0,16.0,47.0,Lead,High,Medium,0.3902439024390244,Moderate,Veteran,Senior,0.32947920113024237
98,29.0,2.0,2.0,21.0,125.0,9.0,31.0,Junior,High,Low,3.0,Very High,New,Young,1.3862943611198906
99,51.0,2.0,3.0,78.0,89.0,16.0,88.0,Junior,Moderate,Very High,5.333333333333333,Very High,New,Senior,1.8458266904983307
100,23.0,20.0,1.0,21.0,139.0,17.0,34.0,Lead,High,Low,0.8095238095238095,High,Senior,Young,0.5930637220029628
101,34.0,27.0,4.0,39.0,141.0,5.0,79.0,Mid,High,Medium,0.17857142857142858,Low,Veteran,Early Mid,0.16430305129127631
102,25.0,20.0,1.0,84.0,110.0,9.0,47.0,Mid,Moderate,Very High,0.42857142857142855,Moderate,Senior,Young,0.35667494393873234
103,29.0,9.0,3.0,30.0,136.0,8.0,10.0,Senior,High,Medium,0.8,High,Mid,Young,0.5877866649021191
104,46.0,26.0,1.0,6.0,49.0,3.0,75.0,Mid,Low,Low,0.1111111111111111,Low,Veteran,Late Mid,0.1053605156578263
105,41.0,11.0,4.0,66.0,93.0,16.0,18.0,Senior,Moderate,High,1.3333333333333333,Very High,Mid,Early Mid,0.8472978603872036
106,35.0,26.0,1.0,95.0,118.0,19.0,51.0,Lead,High,Very High,0.7037037037037037,High,Veteran,Early Mid,0.532804530484766
107,50.0,4.0,2.0,67.0,86.0,10.0,11.0,Lead,Low,High,2.0,Very High,New,Senior,1.0986122886681096
108,42.0,11.0,4.0,53.0,46.0,4.0,25.0,Junior,Low,High,0.3333333333333333,Low,Mid,Late Mid,0.2876820724517809
110,54.0,21.0,5.0,72.0,132.0,6.0,55.0,Junior,High,High,0.2727272727272727,Low,Senior,Senior,0.24116205681688807
111,46.0,22.0,5.0,69.0,11.0,8.0,39.0,Mid,Very Low,High,0.34782608695652173,Low,Senior,Late Mid,0.29849298855599654
113,30.0,14.0,3.0,44.0,101.0,9.0,5.0,Junior,Moderate,Medium,0.6,Moderate,Mid,Young,0.4700036292457356
114,36.0,25.0,1.0,29.0,25.0,2.0,51.0,Lead,Very Low,Medium,0.07692307692307693,Low,Veteran,Early Mid,0.07410797215372188
115,28.0,21.0,1.0,20.0,53.0,4.0,58.0,Junior,Low,Low,0.18181818181818182,Low,Senior,Young,0.1670540846631662
116,23.0,27.0,4.0,52.0,132.0,8.0,2.0,Lead,High,High,0.2857142857142857,Low,Veteran,Young,0.25131442828090605
117,52.0,12.0,2.0,47.0,2.0,14.0,16.0,Senior,Very Low,Medium,1.0769230769230769,High,Mid,Senior,0.7308875085427923
118,28.0,2.0,2.0,7.0,83.0,13.0,9.0,Mid,Low,Low,4.333333333333333,Very High,New,Young,1.6739764335716716
119,32.0,4.0,4.0,95.0,110.0,9.0,11.0,Lead,Moderate,Very High,1.8,Very High,New,Young,1.0296194171811583
120,34.0,11.0,5.0,13.0,51.0,17.0,46.0,Lead,Low,Low,1.4166666666666667,Very High,Mid,Early Mid,0.8823891801984738
122,47.0,3.0,1.0,34.0,43.0,2.0,81.0,Lead,Low,Medium,0.5,Moderate,New,Late Mid,0.4054651081081644
123,29.0,13.0,3.0,83.0,124.0,19.0,17.0,Junior,High,Very High,1.3571428571428572,Very High,Mid,Young,0.8574502318512216
124,35.0,14.0,2.0,51.0,103.0,10.0,33.0,Senior,Moderate,Medium,0.6666666666666666,High,Mid,Early Mid,0.5108256237659907
125,23.0,4.0,1.0,68.0,179.0,6.0,31.0,Mid,Very High,High,1.2,Very High,New,Young,0.7884573603642702
126,36.0,7.0,5.0,59.0,154.0,16.0,85.0,Senior,High,High,2.0,Very High,New,Early Mid,1.0986122886681096
127,41.0,1.0,3.0,79.0,103.0,4.0,46.0,Lead,Moderate,Very High,2.0,Very High,New,Early Mid,1.0986122886681096
128,55.0,1.0,5.0,47.0,62.0,19.0,24.0,Lead,Low,Medium,9.5,Very High,New,Senior,2.3513752571634776
129,25.0,7.0,1.0,5.0,117.0,12.0,32.0,Mid,Moderate,Low,1.5,Very High,New,Young,0.9162907318741551
130,39.0,24.0,5.0,75.0,39.0,4.0,13.0,Lead,Very Low,Very High,0.16,Low,Veteran,Early Mid,0.14842000511827327
131,46.0,24.0,4.0,21.0,59.0,11.0,57.0,Junior,Low,Low,0.44,Moderate,Veteran,Late Mid,0.36464311358790924
132,45.0,29.0,1.0,13.0,144.0,19.0,33.0,Senior,High,Low,0.6333333333333333,Moderate,Veteran,Late Mid,0.4906229164484712
133,27.0,26.0,5.0,11.0,24.0,16.0,51.0,Lead,Very Low,Low,0.5925925925925926,Moderate,Veteran,Young,0.4653632496892333
134,55.0,10.0,4.0,65.0,93.0,8.0,3.0,Mid,Moderate,High,0.7272727272727273,High,Mid,Senior,0.5465437063680699
135,59.0,15.0,4.0,81.0,131.0,18.0,23.0,Mid,High,Very High,1.125,High,Mid,Senior,0.7537718023763802
136,24.0,26.0,5.0,25.0,0.0,3.0,89.0,Junior,Very Low,Low,0.1111111111111111,Low,Veteran,Young,0.1053605156578263
137,40.0,16.0,5.0,29.0,156.0,12.0,57.0,Mid,High,Medium,0.7058823529411765,High,Senior,Early Mid,0.534082485930258
138,57.0,25.0,4.0,14.0,103.0,12.0,87.0,Junior,Moderate,Low,0.46153846153846156,Moderate,Veteran,Senior,0.37948962170490375
140,49.0,18.0,1.0,58.0,169.0,15.0,50.0,Junior,Very High,High,0.7894736842105263,High,Senior,Late Mid,0.581921545449721
142,39.0,24.0,3.0,97.0,180.0,16.0,95.0,Junior,Very High,Very High,0.64,High,Veteran,Early Mid,0.49469624183610705
143,25.0,23.0,2.0,24.0,151.0,15.0,51.0,Mid,High,Low,0.625,Moderate,Veteran,Young,0.48550781578170077
144,33.0,23.0,5.0,73.0,74.0,9.0,55.0,Lead,Low,High,0.375,Moderate,Veteran,Early Mid,0.3184537311185346
145,48.0,9.0,4.0,48.0,16.0,10.0,42.0,Mid,Very Low,Medium,1.0,High,Mid,Late Mid,0.6931471805599453
146,50.0,1.0,3.0,11.0,157.0,5.0,17.0,Mid,High,Low,2.5,Very High,New,Senior,1.252762968495368
147,33.0,25.0,3.0,85.0,135.0,2.0,79.0,Senior,High,Very High,0.07692307692307693,Low,Veteran,Early Mid,0.07410797215372188
149,25.0,22.0,2.0,51.0,46.0,17.0,33.0,Senior,Low,Medium,0.7391304347826086,High,Senior,Young,0.5533852381847866
150,45.0,21.0,3.0,72.0,194.0,10.0,75.0,Mid,Very High,High,0.45454545454545453,Moderate,Senior,Late Mid,0.3746934494414107
151,47.0,24.0,1.0,33.0,120.0,18.0,44.0,Senior,High,Medium,0.72,High,Veteran,Late Mid,0.5423242908253616
152,49.0,13.0,4.0,1.0,38.0,14.0,50.0,Lead,Very Low,Low,1.0,High,Mid,Late Mid,0.6931471805599453
153,25.0,24.0,5.0,62.0,116.0,9.0,94.0,Mid,Moderate,High,0.36,Moderate,Veteran,Young,0.3074846997479606
154,57.0,12.0,3.0,49.0,141.0,5.0,82.0,Junior,High,Medium,0.38461538461538464,Moderate,Mid,Senior,0.325422400434628
155,36.0,20.0,2.0,98.0,129.0,15.0,44.0,Lead,High,Very High,0.7142857142857143,High,Senior,Early Mid,0.538996500732687
156,43.0,16.0,2.0,51.0,164.0,8.0,73.0,Junior,Very High,Medium,0.47058823529411764,Moderate,Senior,Late Mid,0.3856624808119847
157,45.0,10.0,2.0,93.0,159.0,5.0,39.0,Lead,High,Very High,0.45454545454545453,Moderate,Mid,Late Mid,0.3746934494414107
158,45.0,1.0,3.0,2.0,95.0,12.0,48.0,Senior,Moderate,Low,6.0,Very High,New,Late Mid,1.9459101490553132
159,58.0,28.0,2.0,53.0,32.0,3.0,35.0,Lead,Very Low,High,0.10344827586206896,Low,Veteran,Senior,0.09844007281325252
160,41.0,20.0,1.0,69.0,76.0,14.0,21.0,Senior,Low,High,0.6666666666666666,High,Senior,Early Mid,0.5108256237659907
161,27.0,15.0,1.0,10.0,125.0,9.0,25.0,Lead,High,Low,0.5625,Moderate,Mid,Young,0.44628710262841953
162,31.0,1.0,4.0,17.0,191.0,16.0,54.0,Junior,Very High,Low,8.0,Very High,New,Young,2.1972245773362196
163,24.0,28.0,4.0,73.0,30.0,12.0,72.0,Senior,Very Low,High,0.41379310344827586,Moderate,Veteran,Young,0.3462762367178338
164,59.0,19.0,1.0,92.0,198.0,6.0,24.0,Junior,Very High,Very High,0.3,Low,Senior,Senior,0.26236426446749106
165,55.0,7.0,3.0,19.0,146.0,19.0,88.0,Mid,High,Low,2.375,Very High,New,Senior,1.2163953243244932
166,27.0,3.0,4.0,6.0,83.0,8.0,8.0,Lead,Low,Low,2.0,Very High,New,Young,1.0986122886681096
167,31.0,20.0,4.0,87.0,59.0,9.0,18.0,Mid,Low,Very High,0.42857142857142855,Moderate,Senior,Young,0.35667494393873234
168,37.0,26.0,3.0,51.0,161.0,2.0,98.0,Senior,Very High,Medium,0.07407407407407407,Low,Veteran,Early Mid,0.07145896398214495
169,50.0,27.0,4.0,51.0,62.0,12.0,89.0,Senior,Low,Medium,0.42857142857142855,Moderate,Veteran,Senior,0.35667494393873234
170,24.0,26.0,5.0,24.0,103.0,9.0,73.0,Mid,Moderate,Low,0.3333333333333333,Low,Veteran,Young,0.2876820724517809
171,32.0,24.0,5.0,10.0,173.0,3.0,79.0,Junior,Very High,Low,0.12,Low,Veteran,Young,0.11332868530700317
172,58.0,9.0,1.0,15.0,103.0,6.0,9.0,Senior,Moderate,Low,0.6,Moderate,Mid,Senior,0.4700036292457356
173,25.0,22.0,5.0,63.0,179.0,5.0,59.0,Mid,Very High,High,0.21739130434782608,Low,Senior,Young,0.19671029424605424
174,25.0,28.0,5.0,38.0,65.0,4.0,69.0,Mid,Low,Medium,0.13793103448275862,Low,Veteran,Young,0.1292117314800062
175,45.0,11.0,3.0,54.0,113.0,6.0,72.0,Senior,Moderate,High,0.5,Moderate,Mid,Late Mid,0.4054651081081644
176,49.0,5.0,4.0,0.0,148.0,10.0,56.0,Junior,High,Low,1.6666666666666667,Very High,New,Late Mid,0.9808292530117262
177,56.0,10.0,1.0,73.0,58.0,4.0,0.0,Senior,Low,High,0.36363636363636365,Moderate,Mid,Senior,0.3101549283038395
178,59.0,23.0,2.0,42.0,44.0,5.0,66.0,Junior,Low,Medium,0.20833333333333334,Low,Veteran,Senior,0.18924199963852842
179,45.0,4.0,2.0,9.0,187.0,10.0,35.0,Junior,Very High,Low,2.0,Very High,New,Late Mid,1.0986122886681096
180,43.0,24.0,3.0,10.0,113.0,1.0,51.0,Lead,Moderate,Low,0.04,Low,Veteran,Late Mid,0.039220713153281295
181,47.0,24.0,3.0,7.0,106.0,18.0,95.0,Mid,Moderate,Low,0.72,High,Veteran,Late Mid,0.5423242908253616
182,39.0,19.0,5.0,26.0,111.0,11.0,23.0,Mid,Moderate,Low,0.55,Moderate,Senior,Early Mid,0.4382549309311553
183,24.0,14.0,5.0,18.0,199.0,1.0,78.0,Lead,Very High,Low,0.06666666666666667,Low,Mid,Young,0.06453852113757116
184,32.0,12.0,2.0,31.0,137.0,4.0,42.0,Senior,High,Medium,0.3076923076923077,Low,Mid,Young,0.26826398659467937
185,30.0,4.0,5.0,51.0,144.0,5.0,34.0,Mid,High,Medium,1.0,High,New,Young,0.6931471805599453
186,54.0,5.0,1.0,74.0,106.0,6.0,62.0,Mid,Moderate,Very High,1.0,High,New,Senior,0.6931471805599453
187,41.0,22.0,5.0,51.0,61.0,15.0,58.0,Mid,Low,Medium,0.6521739130434783,High,Senior,Early Mid,0.5020919437972361
188,57.0,20.0,2.0,99.0,171.0,9.0,60.0,Senior,Very High,Very High,0.42857142857142855,Moderate,Senior,Senior,0.35667494393873234
189,25.0,0.0,5.0,97.0,19.0,10.0,95.0,Mid,Very Low,Very High,10.0,Very High,New,Young,2.3978952727983707
190,23.0,15.0,1.0,18.0,24.0,17.0,17.0,Junior,Very Low,Low,1.0625,High,Mid,Young,0.723918839226699
191,29.0,16.0,1.0,68.0,23.0,18.0,6.0,Lead,Very Low,High,1.0588235294117647,High,Senior,Young,0.7221347174331976
192,28.0,25.0,5.0,79.0,65.0,17.0,78.0,Lead,Low,Very High,0.6538461538461539,High,Veteran,Young,0.5031035776720804
193,41.0,0.0,4.0,66.0,63.0,2.0,68.0,Junior,Low,High,2.0,Very High,New,Early Mid,1.0986122886681096
194,55.0,15.0,3.0,87.0,4.0,10.0,28.0,Lead,Very Low,Very High,0.625,Moderate,Mid,Senior,0.48550781578170077
195,40.0,1.0,1.0,94.0,54.0,1.0,51.0,Lead,Low,Very High,0.5,Moderate,New,Early Mid,0.4054651081081644
196,50.0,20.0,1.0,39.0,1.0,6.0,77.0,Lead,Very Low,Medium,0.2857142857142857,Low,Senior,Senior,0.25131442828090605
197,27.0,7.0,2.0,66.0,64.0,14.0,17.0,Lead,Low,High,1.75,Very High,New,Young,1.0116009116784799
198,31.0,0.0,4.0,52.0,52.0,10.0,41.0,Junior,Low,High,10.0,Very High,New,Young,2.3978952727983707
199,26.0,1.0,2.0,22.0,103.0,6.0,90.0,Mid,Moderate,Low,3.0,Very High,New,Young,1.3862943611198906
200,45.0,15.0,2.0,2.0,12.0,7.0,66.0,Senior,Very Low,Low,0.4375,Moderate,Mid,Late Mid,0.3629054936893685
201,43.0,13.0,2.0,90.0,150.0,10.0,85.0,Mid,High,Very High,0.7142857142857143,High,Mid,Late Mid,0.538996500732687
202,47.0,2.0,3.0,92.0,22.0,5.0,17.0,Mid,Very Low,Very High,1.6666666666666667,Very High,New,Late Mid,0.9808292530117262
203,58.0,25.0,2.0,92.0,68.0,10.0,40.0,Lead,Low,Very High,0.38461538461538464,Moderate,Veteran,Senior,0.325422400434628
204,50.0,25.0,5.0,71.0,169.0,11.0,6.0,Junior,Very High,High,0.4230769230769231,Moderate,Veteran,Senior,0.3528213746227424
205,57.0,23.0,1.0,9.0,103.0,15.0,74.0,Mid,Moderate,Low,0.625,Moderate,Veteran,Senior,0.48550781578170077
206,41.0,28.0,3.0,20.0,181.0,11.0,62.0,Mid,Very High,Low,0.3793103448275862,Moderate,Veteran,Early Mid,0.3215836241274623
207,41.0,11.0,3.0,77.0,130.0,12.0,79.0,Senior,High,Very High,1.0,High,Mid,Early Mid,0.6931471805599453
208,36.0,18.0,4.0,24.0,3.0,9.0,53.0,Mid,Very Low,Low,0.47368421052631576,Moderate,Senior,Early Mid,0.38776553100876343
